flight_id,flight_no,delay_cause,delay_classification,on_time
454,PG0216,late_aircraft_ct,Short delay,False
455,PG0216,No delays,On-time,True
456,PG0216,weather_ct,Moderate delay,False
457,PG0216,No delays,On-time,True
458,PG0216,No delays,On-time,True
459,PG0216,late_aircraft_ct,Short delay,False
460,PG0216,nas_ct,Moderate delay,False
461,PG0216,No delays,On-time,True
462,PG0216,No delays,On-time,True
463,PG0216,carrier_ct,Moderate delay,False
464,PG0216,weather_ct,Short delay,False
465,PG0216,No delays,On-time,True
466,PG0216,late_aircraft_ct,Short delay,False
467,PG0216,carrier_ct,Short delay,False
468,PG0216,No delays,On-time,True
469,PG0216,No delays,On-time,True
470,PG0216,No delays,On-time,True
471,PG0216,No delays,On-time,True
472,PG0216,late_aircraft_ct,Short delay,False
473,PG0216,No delays,On-time,True
474,PG0216,No delays,On-time,True
475,PG0216,No delays,On-time,True
476,PG0216,No delays,On-time,True
477,PG0216,late_aircraft_ct,Short delay,False
478,PG0216,No delays,On-time,True
479,PG0216,No delays,On-time,True
480,PG0216,No delays,On-time,True
481,PG0216,security_ct,Short delay,False
482,PG0216,No delays,On-time,True
483,PG0216,security_ct,Moderate delay,False
484,PG0216,carrier_ct,Short delay,False
485,PG0216,security_ct,Short delay,False
486,PG0216,late_aircraft_ct,Moderate delay,False
487,PG0216,No delays,On-time,True
488,PG0216,security_ct,Short delay,False
489,PG0213,weather_ct,Short delay,False
490,PG0213,No delays,On-time,True
491,PG0212,carrier_ct,Short delay,False
492,PG0213,late_aircraft_ct,Short delay,False
493,PG0213,carrier_ct,Short delay,False
494,PG0213,late_aircraft_ct,Short delay,False
495,PG0213,nas_ct,Short delay,False
496,PG0213,No delays,On-time,True
497,PG0212,security_ct,Short delay,False
498,PG0213,carrier_ct,Short delay,False
499,PG0212,carrier_ct,Short delay,False
500,PG0213,nas_ct,Short delay,False
501,PG0213,No delays,On-time,True
502,PG0213,carrier_ct,Short delay,False
503,PG0213,No delays,On-time,True
504,PG0213,No delays,On-time,True
505,PG0212,late_aircraft_ct,Short delay,False
506,PG0212,security_ct,Moderate delay,False
507,PG0212,No delays,On-time,True
508,PG0212,No delays,On-time,True
509,PG0213,No delays,On-time,True
510,PG0213,security_ct,Short delay,False
511,PG0212,security_ct,Moderate delay,False
512,PG0212,No delays,On-time,True
513,PG0212,No delays,On-time,True
514,PG0213,No delays,On-time,True
515,PG0213,No delays,On-time,True
516,PG0212,No delays,On-time,True
517,PG0213,No delays,On-time,True
518,PG0212,No delays,On-time,True
519,PG0212,No delays,On-time,True
520,PG0213,No delays,On-time,True
521,PG0213,late_aircraft_ct,Short delay,False
522,PG0212,carrier_ct,Moderate delay,False
523,PG0213,No delays,On-time,True
524,PG0213,security_ct,Moderate delay,False
525,PG0212,No delays,On-time,True
526,PG0212,No delays,On-time,True
527,PG0212,security_ct,Short delay,False
528,PG0213,security_ct,Short delay,False
529,PG0212,No delays,On-time,True
530,PG0213,late_aircraft_ct,Short delay,False
531,PG0212,No delays,On-time,True
532,PG0213,No delays,On-time,True
533,PG0212,late_aircraft_ct,Short delay,False
534,PG0212,nas_ct,Short delay,False
535,PG0213,No delays,On-time,True
536,PG0212,No delays,On-time,True
537,PG0213,late_aircraft_ct,Short delay,False
538,PG0212,late_aircraft_ct,Moderate delay,False
539,PG0213,No delays,On-time,True
540,PG0213,carrier_ct,Short delay,False
541,PG0212,carrier_ct,Short delay,False
542,PG0212,security_ct,Short delay,False
543,PG0213,nas_ct,Short delay,False
544,PG0212,No delays,On-time,True
545,PG0212,No delays,On-time,True
546,PG0213,No delays,On-time,True
547,PG0212,late_aircraft_ct,Short delay,False
548,PG0213,late_aircraft_ct,Short delay,False
549,PG0212,late_aircraft_ct,Short delay,False
550,PG0213,No delays,On-time,True
551,PG0212,No delays,On-time,True
552,PG0212,late_aircraft_ct,Short delay,False
553,PG0212,nas_ct,Moderate delay,False
554,PG0213,late_aircraft_ct,Moderate delay,False
555,PG0212,No delays,On-time,True
556,PG0213,carrier_ct,Long delay,False
557,PG0213,late_aircraft_ct,Short delay,False
558,PG0213,No delays,On-time,True
559,PG0212,security_ct,Short delay,False
560,PG0212,No delays,On-time,True
561,PG0212,security_ct,Short delay,False
562,PG0213,No delays,On-time,True
563,PG0213,No delays,On-time,True
564,PG0213,nas_ct,Short delay,False
565,PG0212,carrier_ct,Short delay,False
566,PG0212,No delays,On-time,True
567,PG0212,carrier_ct,Long delay,False
568,PG0213,No delays,On-time,True
569,PG0213,No delays,On-time,True
570,PG0212,No delays,On-time,True
571,PG0213,carrier_ct,Long delay,False
572,PG0212,late_aircraft_ct,Short delay,False
573,PG0212,No delays,On-time,True
574,PG0213,carrier_ct,Moderate delay,False
575,PG0212,security_ct,Short delay,False
576,PG0212,late_aircraft_ct,Moderate delay,False
577,PG0213,security_ct,Short delay,False
578,PG0212,carrier_ct,Moderate delay,False
579,PG0212,late_aircraft_ct,Short delay,False
580,PG0212,nas_ct,Short delay,False
581,PG0213,No delays,On-time,True
582,PG0212,No delays,On-time,True
583,PG0212,carrier_ct,Short delay,False
584,PG0213,late_aircraft_ct,Short delay,False
585,PG0212,security_ct,Short delay,False
586,PG0213,No delays,On-time,True
587,PG0213,security_ct,Short delay,False
588,PG0212,No delays,On-time,True
589,PG0212,security_ct,Short delay,False
590,PG0212,nas_ct,Short delay,False
591,PG0213,No delays,On-time,True
592,PG0212,No delays,On-time,True
593,PG0213,No delays,On-time,True
594,PG0213,No delays,On-time,True
595,PG0212,No delays,On-time,True
596,PG0212,weather_ct,Moderate delay,False
597,PG0213,late_aircraft_ct,Short delay,False
598,PG0213,weather_ct,Short delay,False
599,PG0212,No delays,On-time,True
600,PG0212,late_aircraft_ct,Moderate delay,False
601,PG0213,late_aircraft_ct,Short delay,False
602,PG0213,late_aircraft_ct,Moderate delay,False
603,PG0212,nas_ct,Short delay,False
604,PG0213,nas_ct,Short delay,False
605,PG0212,No delays,On-time,True
606,PG0213,late_aircraft_ct,Short delay,False
607,PG0213,No delays,On-time,True
608,PG0212,nas_ct,Short delay,False
609,PG0213,security_ct,Short delay,False
610,PG0213,security_ct,Short delay,False
611,PG0416,security_ct,Moderate delay,False
612,PG0416,carrier_ct,Short delay,False
613,PG0416,security_ct,Short delay,False
614,PG0416,carrier_ct,Short delay,False
615,PG0416,nas_ct,Short delay,False
616,PG0416,No delays,On-time,True
617,PG0416,carrier_ct,Short delay,False
618,PG0416,nas_ct,Short delay,False
619,PG0416,No delays,On-time,True
620,PG0416,No delays,On-time,True
621,PG0416,late_aircraft_ct,Short delay,False
622,PG0416,No delays,On-time,True
623,PG0416,No delays,On-time,True
624,PG0416,security_ct,Moderate delay,False
625,PG0416,No delays,On-time,True
626,PG0416,security_ct,Short delay,False
627,PG0416,security_ct,Short delay,False
628,PG0416,No delays,On-time,True
629,PG0416,No delays,On-time,True
630,PG0416,No delays,On-time,True
631,PG0416,No delays,On-time,True
632,PG0416,security_ct,Short delay,False
633,PG0416,carrier_ct,Short delay,False
634,PG0416,No delays,On-time,True
635,PG0416,No delays,On-time,True
636,PG0416,carrier_ct,Short delay,False
637,PG0416,weather_ct,Moderate delay,False
638,PG0416,weather_ct,Short delay,False
639,PG0416,late_aircraft_ct,Moderate delay,False
640,PG0416,nas_ct,Short delay,False
641,PG0416,carrier_ct,Short delay,False
642,PG0416,No delays,On-time,True
643,PG0416,late_aircraft_ct,Short delay,False
644,PG0416,No delays,On-time,True
645,PG0416,carrier_ct,Short delay,False
646,PG0416,No delays,On-time,True
647,PG0416,No delays,On-time,True
648,PG0416,No delays,On-time,True
649,PG0416,carrier_ct,Short delay,False
650,PG0416,No delays,On-time,True
651,PG0416,nas_ct,Short delay,False
652,PG0416,No delays,On-time,True
653,PG0416,carrier_ct,Short delay,False
654,PG0416,No delays,On-time,True
655,PG0416,carrier_ct,Moderate delay,False
656,PG0416,nas_ct,Short delay,False
657,PG0416,carrier_ct,Short delay,False
658,PG0416,No delays,On-time,True
659,PG0416,carrier_ct,Moderate delay,False
660,PG0416,carrier_ct,Short delay,False
661,PG0416,No delays,On-time,True
662,PG0416,No delays,On-time,True
663,PG0416,No delays,On-time,True
664,PG0416,No delays,On-time,True
665,PG0416,nas_ct,Short delay,False
666,PG0416,No delays,On-time,True
667,PG0416,No delays,On-time,True
668,PG0416,No delays,On-time,True
669,PG0416,No delays,On-time,True
670,PG0416,No delays,On-time,True
671,PG0416,late_aircraft_ct,Moderate delay,False
672,PG0055,No delays,On-time,True
673,PG0054,No delays,On-time,True
674,PG0055,No delays,On-time,True
675,PG0054,No delays,On-time,True
676,PG0055,No delays,On-time,True
677,PG0055,security_ct,Moderate delay,False
678,PG0054,No delays,On-time,True
679,PG0055,nas_ct,Short delay,False
680,PG0055,No delays,On-time,True
681,PG0054,carrier_ct,Short delay,False
682,PG0055,No delays,On-time,True
683,PG0054,No delays,On-time,True
684,PG0055,late_aircraft_ct,Short delay,False
685,PG0055,No delays,On-time,True
686,PG0054,carrier_ct,Short delay,False
687,PG0054,No delays,On-time,True
688,PG0054,No delays,On-time,True
689,PG0054,No delays,On-time,True
690,PG0055,security_ct,Short delay,False
691,PG0055,carrier_ct,Short delay,False
692,PG0055,nas_ct,Short delay,False
693,PG0055,nas_ct,Short delay,False
