airport_code,airport_name,city,timezone,longitud,latitud
REN,Orenburg Central Airport,Orenburg,Asia/Yekaterinburg,55.45669937133789,51.795799255371094
UFA,Ufa International Airport,Ufa,Asia/Yekaterinburg,55.874401092529,54.557498931885
OVB,Tolmachevo Airport,Novosibirsk,Asia/Novosibirsk,82.650703430176,55.012599945068
CEE,Cherepovets Airport,Cherepovets,Europe/Moscow,38.015800476100004,59.273601532
OMS,Omsk Central Airport,Omsk,Asia/Omsk,73.31050109863281,54.96699905395508
ROV,Rostov-on-Don Airport,Rostov,Europe/Moscow,39.8180999756,47.2582015991
AER,Sochi International Airport,Sochi,Europe/Moscow,39.956600189209,43.449901580811
VOG,Volgograd International Airport,Volgograd,Europe/Volgograd,44.34550094604492,48.782501220703125
BQS,Ignatyevo Airport,Blagoveschensk,Asia/Yakutsk,127.41200256347656,50.42539978027344
GDX,Sokol Airport,Magadan,Asia/Magadan,150.72000122070312,59.9109992980957
HTA,Chita-Kadala Airport,Chita,Asia/Chita,113.306,52.026299
BTK,Bratsk Airport,Bratsk,Asia/Irkutsk,101.697998046875,56.370601654052734
IKT,Irkutsk Airport,Irkutsk,Asia/Irkutsk,104.38899993896,52.268001556396
UUD,Ulan-Ude Airport (Mukhino),Ulan-ude,Asia/Irkutsk,107.43800354003906,51.80780029296875
MMK,Murmansk Airport,Murmansk,Europe/Moscow,32.75080108642578,68.78170013427734
ABA,Abakan Airport,Abakan,Asia/Krasnoyarsk,91.38500213623047,53.7400016784668
BAX,Barnaul Airport,Barnaul,Asia/Krasnoyarsk,83.53849792480469,53.363800048828125
AAQ,Anapa Vityazevo Airport,Anapa,Europe/Moscow,37.347301483154,45.002101898193
CNN,Chulman Airport,Neryungri,Asia/Yakutsk,124.91400146484,56.913898468018
